Date,Name,Group,UFC_cover,MADC_cover
9.28.2020,ITARKIBOULETTE,Alfalfa,103.7,253.5
9.28.2020,ISCASHEBOUL,Alfalfa,103.5,253.1
9.28.2020,ILANDER,Alfalfa,103.7,252.8
9.28.2020,IPLATBOULETTE,Alfalfa,103.8,252.1
9.28.2020,ISPIRITUSANTU,Alfalfa,103.8,252.2
9.28.2020,IEGADELAVEGABOULE,Alfalfa,103.5,251.5
9.28.2020,IPFLAPBOULETTE,Alfalfa,103.6,250.5
9.28.2020,IVALIENTE,Alfalfa,93.1,215.4
9.28.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251
9.29.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
9.29.2020,ITARKIBOULETTE,Alfalfa,103.9,255
9.29.2020,ISCASHEBOUL,Alfalfa,103.6,254.5
9.29.2020,ILANDER,Alfalfa,102.8,252.7
9.29.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
9.29.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
9.29.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
9.29.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
9.29.2020,IVALIENTE,Alfalfa,92.6,213.9
9.29.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
9.30.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
9.30.2020,ITARKIBOULETTE,Alfalfa,103.9,255
9.30.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
9.30.2020,ILANDER,Alfalfa,103.4,253
9.30.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
9.30.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
9.30.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
9.30.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
9.30.2020,IVALIENTE,Alfalfa,99.5,236.9
9.30.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.1.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
10.1.2020,ITARKIBOULETTE,Alfalfa,103.9,255
10.1.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
10.1.2020,ILANDER,Alfalfa,103.4,253
10.1.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
10.1.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
10.1.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
10.1.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
10.1.2020,IVALIENTE,Alfalfa,103.1,249
10.1.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.2.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
10.2.2020,ITARKIBOULETTE,Alfalfa,103.9,255
10.2.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
10.2.2020,ILANDER,Alfalfa,103.4,253
10.2.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
10.2.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
10.2.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
10.2.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
10.2.2020,IVALIENTE,Alfalfa,102.3,246.3
10.2.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.3.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
10.3.2020,ITARKIBOULETTE,Alfalfa,103.9,255
10.3.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
10.3.2020,ILANDER,Alfalfa,103.4,253
10.3.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
10.3.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
10.3.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
10.3.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
10.3.2020,IVALIENTE,Alfalfa,100.5,240.2
10.3.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.4.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
10.4.2020,ITARKIBOULETTE,Alfalfa,103.9,255
10.4.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
10.4.2020,ILANDER,Alfalfa,103.4,253
10.4.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
10.4.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
10.4.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
10.4.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
10.4.2020,IVALIENTE,Alfalfa,98.1,232.1
10.4.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.5.2020,ILSOURIBOUL,Alfalfa,103.7,254.5
10.5.2020,ITARKIBOULETTE,Alfalfa,103.9,255
10.5.2020,ISCASHEBOUL,Alfalfa,103.7,254.6
10.5.2020,ILANDER,Alfalfa,103.4,253
10.5.2020,IPLATBOULETTE,Alfalfa,103.5,252.3
10.5.2020,ISPIRITUSANTU,Alfalfa,103.9,253.1
10.5.2020,IEGADELAVEGABOULE,Alfalfa,104,253.3
10.5.2020,IPFLAPBOULETTE,Alfalfa,103.8,251.7
10.5.2020,IVALIENTE,Alfalfa,103.1,249
10.5.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.8,251.8
10.6.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.6.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.6.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.6.2020,ILANDER,Alfalfa,103.8,254.2
10.6.2020,IPLATBOULETTE,Alfalfa,103.6,253.3
10.6.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.6.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.6.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.6.2020,IVALIENTE,Alfalfa,103.7,252.4
10.6.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.7.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.7.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.7.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.7.2020,ILANDER,Alfalfa,103.8,254.2
10.7.2020,IPLATBOULETTE,Alfalfa,103.6,253.3
10.7.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.7.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.7.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.7.2020,IVALIENTE,Alfalfa,103.7,252.4
10.7.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.8.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.8.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.8.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.8.2020,ILANDER,Alfalfa,103.8,254.2
10.8.2020,IPLATBOULETTE,Alfalfa,103.6,253.3
10.8.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.8.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.8.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.8.2020,IVALIENTE,Alfalfa,103.7,252.4
10.8.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.9.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.9.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.9.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.9.2020,ILANDER,Alfalfa,103.8,254.2
10.9.2020,IPLATBOULETTE,Alfalfa,102.9,250.7
10.9.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.9.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.9.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.9.2020,IVALIENTE,Alfalfa,103.7,252.4
10.9.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.10.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.10.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.10.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.10.2020,ILANDER,Alfalfa,103.8,254.2
10.10.2020,IPLATBOULETTE,Alfalfa,103.6,253.3
10.10.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.10.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.10.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.10.2020,IVALIENTE,Alfalfa,96.4,227.8
10.10.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.11.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.11.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.11.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.11.2020,ILANDER,Alfalfa,103.8,254.2
10.11.2020,IPLATBOULETTE,Alfalfa,102.3,248.8
10.11.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.11.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.11.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.11.2020,IVALIENTE,Alfalfa,94.1,219.8
10.11.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.12.2020,ILSOURIBOUL,Alfalfa,103.6,254.6
10.12.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.12.2020,ISCASHEBOUL,Alfalfa,103.9,255.2
10.12.2020,ILANDER,Alfalfa,103.8,254.2
10.12.2020,IPLATBOULETTE,Alfalfa,103.6,253.3
